m/z,RT1_center,RT2_center
95.0,8391.568,1.072
95.0,9208.0,1.072
95.0,10550.032,1.872
97.0,7441.984,1.04
97.0,7540.096,1.12
97.0,7704.784,1.232
98.0,9803.68,1.184
90.0,7911.52,1.368
87.0,7771.36,2.128
89.0,7638.208,1.744
89.0,7746.832,1.792
89.0,7813.408,2.24
89.0,7911.52,1.376
89.0,7960.576,1.968
89.0,8160.304,1.488
90.0,7589.152,1.808
101.0,7785.376,2.048
68.0,10550.032,1.864
70.0,8265.424,1.36
72.0,6860.32,1.008
72.0,7294.816,1.016
41.0,7792.384,1.216
63.0,8163.808,1.496
59.0,6965.44,1.016
82.0,8654.368,1.048
63.0,6902.368,1.288
63.0,7091.584,1.128
63.0,7196.704,1.36
63.0,7249.264,1.912
63.0,7315.84,1.248
63.0,7494.544,1.288
63.0,7746.832,1.864
63.0,7897.504,1.368
62.0,6905.872,1.512
83.0,7445.488,1.04
83.0,7543.6,1.12
83.0,7655.728,1.192
83.0,7788.88,1.224
83.0,8671.888,1.048
85.0,9320.128,1.08
76.0,7322.848,1.28
68.0,9856.24,1.088
63.0,9726.592,2.136
63.0,9999.904,2.304
65.0,5795.104,1.056
65.0,6008.848,1.448
67.0,7445.488,1.048
67.0,7540.096,1.112
68.0,7806.4,1.2
68.0,8661.376,1.04
63.0,9029.296,1.112
116.0,6299.68,1.4
116.0,7109.104,1.136
116.0,7175.68,1.048
116.0,7382.416,1.112
116.0,7456.0,1.104
116.0,7620.688,1.64
116.0,8324.992,1.232
94.0,8188.336,1.424
117.0,6008.848,1.44
118.0,5805.616,1.072
118.0,6012.352,1.432
107.0,7795.888,1.216
108.0,6975.952,1.072
108.0,7452.496,1.04
109.0,9134.416,1.04
110.0,7448.992,1.04
117.0,5798.608,1.072
120.0,5872.192,1.112
120.0,8349.52,1.096
121.0,7452.496,1.048
121.0,7795.888,1.224
122.0,7452.496,1.048
123.0,7445.488,1.056
123.0,7547.104,1.064
116.0,6012.352,1.448
180.0,7743.328,1.808
124.0,10553.536,1.848
125.0,6863.824,1.024
125.0,7445.488,1.056
115.0,7168.672,1.072
115.0,7886.992,1.36
115.0,8030.656,1.616
115.0,8286.448,1.36
124.0,7445.488,1.056
102.0,6902.368,1.28
102.0,7105.6,1.136
102.0,7813.408,2.224
102.0,8030.656,1.936
102.0,8139.28,1.712
104.0,7950.064,1.712
105.0,5802.112,1.064
110.0,7806.4,1.192
107.0,7445.488,1.048
91.0,8167.312,1.312
91.0,8384.56,1.112
91.0,8612.32,1.28
92.0,7445.488,1.048
92.0,7543.6,1.104
93.0,7445.488,1.056
94.0,7445.488,1.048
105.0,8612.32,1.28
110.0,8188.336,1.424
111.0,6863.824,1.024
111.0,7434.976,1.024
111.0,7708.288,1.248
111.0,8265.424,1.352
112.0,6867.328,1.024
112.0,8265.424,1.36
102.0,6299.68,1.392
113.0,9803.68,1.216
115.0,7095.088,1.128
101.0,7834.432,2.184
101.0,8034.16,1.896
101.0,8135.776,1.712
101.0,8205.856,1.656
102.0,5742.544,1.352
102.0,6008.848,1.448
113.0,9320.128,1.088
382.0,9018.784,1.016
314.0,8293.456,1.264
318.0,8310.976,1.176
322.0,8500.192,1.272
322.0,8587.792,1.328
324.0,8433.616,1.144
324.0,8587.792,1.28
178.0,8160.304,1.488
350.0,9025.792,1.24
351.0,8980.24,1.056
351.0,9036.304,1.176
352.0,9043.312,1.152
354.0,8850.592,1.032
360.0,9758.128,2.168
361.0,10045.456,2.224
362.0,9600.448,1.808
338.0,8752.48,1.136
55.0,8167.312,1.32
55.0,9134.416,1.056
362.0,9726.592,2.032
362.0,9800.176,2.064
363.0,8878.624,1.04
363.0,8941.696,1.048
363.0,9649.504,1.888
381.0,9008.272,0.992
363.0,9803.68,2.048
367.0,9043.312,1.072
369.0,10550.032,1.856
376.0,9796.672,1.984
376.0,9940.336,2.128
380.0,8969.728,1.064
380.0,9022.288,1.072
380.0,9074.848,1.096
363.0,9744.112,1.96
294.0,8405.584,1.376
294.0,8482.672,1.52
