m/z,RT1_center,RT2_center
127.0,6008.848,1.44
139.0,7466.512,1.216
139.0,7638.208,1.744
139.0,7743.328,1.864
139.0,7813.408,1.912
139.0,7883.488,1.36
139.0,7950.064,1.712
139.0,8181.328,1.44
126.0,8265.424,1.36
139.0,5959.792,1.568
176.0,8307.472,1.088
176.0,8388.064,1.112
160.0,8184.832,1.504
160.0,9204.496,1.08
161.0,8188.336,1.584
162.0,9186.976,1.08
164.0,7957.072,1.768
152.0,7049.536,1.104
165.0,7746.832,1.464
165.0,7922.032,1.368
165.0,8163.808,1.488
166.0,7638.208,1.736
166.0,7746.832,1.848
166.0,7936.048,1.664
167.0,7753.84,1.744
167.0,7915.024,1.352
165.0,7533.088,1.128
180.0,7778.368,1.696
180.0,7922.032,1.376
180.0,7981.6,1.8
168.0,7753.84,1.648
168.0,7988.608,1.792
169.0,6229.6,1.152
169.0,7326.352,1.264
176.0,8167.312,1.48
169.0,7627.696,1.72
169.0,7785.376,1.304
169.0,8289.952,1.224
169.0,8605.312,1.128
170.0,10112.032,1.872
174.0,9281.584,1.224
176.0,7746.832,1.536
176.0,7918.528,1.352
169.0,7494.544,1.296
151.0,7448.992,1.04
151.0,7715.296,1.248
151.0,7922.032,1.344
151.0,7985.104,1.784
151.0,9775.648,1.464
151.0,10441.408,2.2
151.0,10550.032,1.848
167.0,7988.608,1.8
152.0,7322.848,1.288
152.0,7494.544,1.296
152.0,7620.688,1.744
152.0,7746.832,1.792
152.0,7939.552,1.656
152.0,8163.808,1.488
153.0,6902.368,1.264
153.0,7322.848,1.288
118.0,8181.328,1.352
168.0,7634.704,1.92
153.0,7494.544,1.296
153.0,7638.208,1.68
153.0,7746.832,1.856
153.0,7936.048,1.664
153.0,8034.16,1.456
154.0,7322.848,1.296
160.0,6299.68,1.392
154.0,7620.688,1.72
154.0,7743.328,1.848
155.0,7322.848,1.28
155.0,7494.544,1.296
155.0,7620.688,1.672
157.0,6008.848,1.432
158.0,6008.848,1.44
160.0,6012.352,1.432
154.0,7477.024,1.296
90.0,7957.072,1.976
90.0,8160.304,1.48
91.0,7333.36,1.144
91.0,7456.0,1.056
91.0,7543.6,1.12
91.0,7617.184,1.144
91.0,7795.888,1.216
124.0,7543.6,1.064
77.0,8342.512,1.088
78.0,7540.096,1.112
79.0,7445.488,1.056
79.0,7543.6,1.104
79.0,7802.896,1.216
80.0,7445.488,1.056
81.0,7445.488,1.048
81.0,7806.4,1.208
77.0,8167.312,1.328
95.0,8391.568,1.072
95.0,9208.0,1.072
95.0,10550.032,1.872
97.0,7441.984,1.04
97.0,7540.096,1.12
97.0,7704.784,1.232
98.0,9803.68,1.184
90.0,7911.52,1.368
87.0,7771.36,2.128
89.0,7638.208,1.744
89.0,7746.832,1.792
89.0,7813.408,2.24
89.0,7911.52,1.376
89.0,7960.576,1.968
89.0,8160.304,1.488
90.0,7589.152,1.808
101.0,7785.376,2.048
68.0,10550.032,1.864
70.0,8265.424,1.36
72.0,6860.32,1.008
72.0,7294.816,1.016
41.0,7792.384,1.216
63.0,8163.808,1.496
59.0,6965.44,1.016
82.0,8654.368,1.048
63.0,6902.368,1.288
63.0,7091.584,1.128
63.0,7196.704,1.36
63.0,7249.264,1.912
63.0,7315.84,1.248
63.0,7494.544,1.288
63.0,7746.832,1.864
63.0,7897.504,1.368
62.0,6905.872,1.512
83.0,7445.488,1.04
83.0,7543.6,1.12
83.0,7655.728,1.192
83.0,7788.88,1.224
83.0,8671.888,1.048
85.0,9320.128,1.08
76.0,7322.848,1.28
68.0,9856.24,1.088
63.0,9726.592,2.136
63.0,9999.904,2.304
65.0,5795.104,1.056
65.0,6008.848,1.448
67.0,7445.488,1.048
67.0,7540.096,1.112
68.0,7806.4,1.2
68.0,8661.376,1.04
63.0,9029.296,1.112
116.0,6299.68,1.4
116.0,7109.104,1.136
116.0,7175.68,1.048
116.0,7382.416,1.112
116.0,7456.0,1.104
116.0,7620.688,1.64
116.0,8324.992,1.232
94.0,8188.336,1.424
117.0,6008.848,1.44
118.0,5805.616,1.072
118.0,6012.352,1.432
107.0,7795.888,1.216
108.0,6975.952,1.072
108.0,7452.496,1.04
109.0,9134.416,1.04
110.0,7448.992,1.04
117.0,5798.608,1.072
120.0,5872.192,1.112
120.0,8349.52,1.096
121.0,7452.496,1.048
121.0,7795.888,1.224
122.0,7452.496,1.048
123.0,7445.488,1.056
123.0,7547.104,1.064
116.0,6012.352,1.448
180.0,7743.328,1.808
124.0,10553.536,1.848
125.0,6863.824,1.024
125.0,7445.488,1.056
115.0,7168.672,1.072
115.0,7886.992,1.36
115.0,8030.656,1.616
115.0,8286.448,1.36
124.0,7445.488,1.056
102.0,6902.368,1.28
102.0,7105.6,1.136
102.0,7813.408,2.224
102.0,8030.656,1.936
102.0,8139.28,1.712
104.0,7950.064,1.712
105.0,5802.112,1.064
110.0,7806.4,1.192
107.0,7445.488,1.048
91.0,8167.312,1.312
91.0,8384.56,1.112
91.0,8612.32,1.28
92.0,7445.488,1.048
92.0,7543.6,1.104
93.0,7445.488,1.056
94.0,7445.488,1.048
105.0,8612.32,1.28
110.0,8188.336,1.424
111.0,6863.824,1.024
111.0,7434.976,1.024
111.0,7708.288,1.248
111.0,8265.424,1.352
112.0,6867.328,1.024
112.0,8265.424,1.36
102.0,6299.68,1.392
113.0,9803.68,1.216
115.0,7095.088,1.128
