m/z,RT1_center,RT2_center
218.0,10486.96,1.056
218.0,10423.888,1.064
218.0,10367.824,1.056
218.0,10266.208,1.056
218.0,10059.472,1.056
218.0,9905.296,1.064
218.0,10627.12,1.056
218.0,10560.544,1.064
464.0,3727.744,3.08
218.0,10981.024,1.056
218.0,10903.936,1.048
218.0,11033.584,1.056
218.0,11415.52,1.064
218.0,11313.904,1.072
218.0,11163.232,1.056
453.0,10854.88,1.072
38.0,6944.416,1.376
83.0,9744.112,1.256
122.0,10076.992,1.496
38.0,9744.112,1.256
39.0,9744.112,1.248
122.0,9656.512,1.384
95.0,9046.816,1.08
160.0,7701.28,1.256
453.0,10714.72,1.072
