m/z,RT1_center,RT2_center
236.0,7063.552,1.64
238.0,6825.28,1.168
410.0,8969.728,1.248
62.0,6835.792,1.184
224.0,6688.624,1.224
165.0,6587.008,1.352
166.0,6580.0,1.256
167.0,6846.304,1.272
165.0,6464.368,1.488
166.0,6464.368,1.392
181.0,6464.368,1.368
118.0,6842.8,1.232
172.0,8100.736,1.2
