m/z,RT1_center,RT2_center
184.0,8906.656,1.048
143.0,6425.824,1.032
202.0,7683.76,2.48
182.0,6422.32,1.448
216.0,8027.152,2.024
143.0,6902.368,1.088
153.0,6951.424,1.448
228.0,6643.072,1.096
216.0,8773.504,1.152
153.0,7375.408,1.512
321.0,8871.616,1.056
143.0,7778.368,1.208
143.0,7547.104,1.12
143.0,8153.296,1.312
129.0,8310.976,1.152
143.0,6348.736,1.2
143.0,7021.504,1.056
143.0,7095.088,1.112
143.0,7427.968,1.096
129.0,6776.224,1.016
145.0,8118.256,1.2
144.0,8121.76,1.2
153.0,6604.528,1.464
171.0,6762.208,1.072
144.0,6902.368,1.232
152.0,6576.496,1.328
218.0,9698.56,1.128
262.0,9053.824,1.16
171.0,8090.224,1.2
174.0,6713.152,2.192
129.0,4929.616,1.144
369.0,10185.616,2.184
150.0,7799.392,1.216
180.0,7620.688,1.76
200.0,8931.184,1.384
202.0,8034.16,1.784
143.0,7645.216,1.16
278.0,8762.992,2.04
129.0,6891.856,1.072
160.0,7981.6,1.112
143.0,8079.712,1.208
160.0,7911.52,1.096
143.0,6940.912,1.016
143.0,6755.2,1.016
200.0,7589.152,2.352
170.0,5718.016,1.272
144.0,6772.72,1.064
242.0,6870.832,1.24
184.0,6401.296,1.176
168.0,9053.824,1.136
160.0,7701.28,1.256
167.0,6846.304,1.272
145.0,4992.688,1.12
112.0,8367.04,1.096
150.0,2967.376,2.32
277.0,8780.512,2.312
172.0,8100.736,1.2
