m/z,RT1_center,RT2_center
214.0,7133.632,1.488
183.0,6436.336,1.056
64.0,7189.696,1.192
153.0,6692.128,1.56
173.0,6015.856,1.384
172.0,8927.68,1.088
167.0,6418.816,1.36
172.0,8805.04,1.048
229.0,7025.008,1.488
144.0,7025.008,1.064
217.0,7519.072,1.392
231.0,7312.336,1.184
218.0,7343.872,1.416
231.0,7371.904,1.144
145.0,5567.344,1.04
232.0,8317.984,2.072
56.0,9025.792,1.12
204.0,7708.288,2.248
153.0,6124.48,1.576
167.0,6912.88,1.384
229.0,8405.584,2.096
213.0,8027.152,2.24
242.0,8871.616,2.008
217.0,8034.16,2.256
215.0,8027.152,2.248
260.0,7298.32,1.408
172.0,6744.688,1.056
182.0,6597.52,1.352
195.0,6464.368,1.392
196.0,6548.464,1.48
155.0,5963.296,1.464
156.0,5441.2,1.464
155.0,5805.616,1.384
155.0,5360.608,1.44
76.0,5360.608,1.456
115.0,5360.608,1.464
63.0,5437.696,1.464
155.0,5875.696,1.384
115.0,5441.2,1.464
464.0,7543.6,2.08
214.0,7498.048,2.904
192.0,7151.152,1.568
192.0,7081.072,1.664
192.0,7010.992,1.656
191.0,7140.64,2.12
190.0,7529.584,2.032
213.0,7946.56,2.216
258.0,7434.976,1.432
258.0,7305.328,1.552
258.0,7060.048,1.656
257.0,7417.456,1.424
225.0,7210.72,1.568
225.0,7147.648,1.616
224.0,7021.504,1.664
218.0,7666.24,2.032
198.0,7547.104,2.472
218.0,7406.944,2.0
198.0,6912.88,1.952
197.0,7519.072,1.872
197.0,7010.992,1.888
196.0,7491.04,1.32
196.0,7427.968,1.392
214.0,8339.008,1.408
214.0,8416.096,1.168
248.0,8310.976,2.008
614.0,7175.68,1.776
192.0,7273.792,1.512
172.0,6292.672,1.064
171.0,7666.24,1.072
171.0,6520.432,1.072
166.0,7158.16,1.88
166.0,7088.08,1.864
190.0,7074.064,2.08
226.0,7336.864,1.488
226.0,7273.792,1.536
226.0,7210.72,1.552
225.0,7375.408,1.464
205.0,7550.608,2.112
205.0,7491.04,2.224
204.0,7284.304,2.12
199.0,7547.104,2.48
214.0,7645.216,1.392
198.0,6982.96,2.016
186.0,7522.576,2.2
186.0,7140.64,2.128
186.0,6699.136,2.008
186.0,6611.536,2.176
185.0,6611.536,2.184
196.0,7287.808,1.528
238.0,7301.824,1.32
238.0,7238.752,1.328
232.0,7890.496,1.424
231.0,7792.384,1.568
214.0,7771.36,1.512
214.0,7767.856,2.656
214.0,7645.216,2.56
187.0,7403.44,1.424
96.0,7196.704,1.568
227.0,7333.36,1.528
256.0,7014.496,1.696
256.0,7084.576,1.648
256.0,7154.656,1.616
256.0,7210.72,1.584
256.0,7270.288,1.56
218.0,7620.688,2.016
257.0,7091.584,1.648
257.0,7210.72,1.584
257.0,7312.336,1.552
257.0,7368.4,1.52
260.0,7231.744,1.576
231.0,7161.664,1.64
63.0,6702.64,2.232
62.0,6702.64,2.24
50.0,8892.64,0.68
226.0,7463.008,1.352
227.0,7049.536,1.688
