,coefficient,m/z,RT1,RT2,RT1_center,RT2_center,samples,feature_index,class
82,0.020994410564517313,130.0,"[5725.024,5763.568]","[1.6,1.04]",5742.544,1.32,"Jarosite, Green R. Shale, Lignite",2894,1
83,0.020994410564517313,128.0,"[5725.024,5763.568]","[1.6,1.04]",5742.544,1.32,"Jarosite, Green R. Shale, Lignite",2781,1
84,0.02088235447911584,150.0,"[6047.392,6089.44]","[2.16,1.936]",6068.416,2.048,"Rio Tinto, GSFC, Murchison Soil, Orgueil",3682,1
85,0.02088235447911584,149.0,"[6047.392,6064.912]","[2.16,1.968]",6057.904,2.064,"Rio Tinto, GSFC, Murchison Soil, Orgueil",3649,1
86,-0.020809434399717,464.0,"[8493.184,8528.224]","[2.176,1.128]",8510.704,1.656,"Lignite, ALH 83100, Aguas Zarcas, EET 96029",8848,0
87,0.02055983573584708,159.0,"[4982.176,4985.68]","[1.16,1.12]",4982.176,1.136,"Atacama, Green R. Shale, GSFC",3956,1
88,0.02055983573584708,144.0,"[4982.176,4982.176]","[1.16,1.112]",4982.176,1.136,"Atacama, Green R. Shale, GSFC",3420,1
89,-0.02045049705060101,153.0,"[5174.896,5206.432]","[1.848,1.624]",5192.416,1.736,"Orgueil, ALH 83100, LON 94101, Murchison, LEW 85311",3808,0
90,0.02031238227290065,145.0,"[5490.256,5535.808]","[1.288,1.016]",5511.28,1.152,"Iceland, Atacama, GSFC, LON 94101, LEW 85311",3506,1
91,0.019877728270717335,36.0,"[2200.0,2207.008]","[2.088,1.08]",2203.504,1.584,"Jarosite, Atacama, Antarctica, Lignite, Aguas Zarcas, EET 96029",151,1
92,-0.019779860883013416,116.0,"[4838.512,4845.52]","[1.88,1.296]",4842.016,1.584,"LON 94101, Murchison, Jbilet Winselwan, LEW 85311",2304,0
93,-0.019779860883013416,38.0,"[4078.144,4088.656]","[2.176,1.464]",4085.152,1.824,"LON 94101, Murchison, Jbilet Winselwan, LEW 85311",190,0
94,-0.019779860883013416,62.0,"[4750.912,4771.936]","[1.84,1.328]",4761.424,1.584,"LON 94101, Murchison, Jbilet Winselwan, LEW 85311",676,0
95,-0.019779860883013416,64.0,"[4071.136,4085.152]","[2.184,1.48]",4078.144,1.832,"LON 94101, Murchison, Jbilet Winselwan, LEW 85311",796,0
96,-0.019779860883013416,143.0,"[4754.416,4771.936]","[1.84,1.296]",4761.424,1.568,"LON 94101, Murchison, Jbilet Winselwan, LEW 85311",3358,0
97,0.01976728430088993,116.0,"[5725.024,5742.544]","[1.104,1.04]",5732.032,1.072,"Jarosite, Lignite",2313,1
98,0.01976728430088993,141.0,"[5742.544,5777.584]","[1.152,1.032]",5760.064,1.088,"Jarosite, Lignite",3266,1
99,0.01976728430088993,172.0,"[9807.184,9828.208]","[2.04,1.28]",9817.696,1.664,"Jarosite, Lignite",4580,1
100,0.01976728430088993,142.0,"[5742.544,5777.584]","[1.152,1.04]",5760.064,1.096,"Jarosite, Lignite",3313,1
101,0.01976728430088993,143.0,"[5742.544,5777.584]","[1.152,1.04]",5760.064,1.096,"Jarosite, Lignite",3366,1
102,-0.019755076723552287,464.0,"[8079.712,8125.264]","[1.672,1.016]",8100.736,1.344,"Orgueil, Aguas Zarcas, EET 96029",8840,0
103,-0.019755076723552287,464.0,"[8058.688,8100.736]","[3.232,2.56]",8079.712,2.896,"Orgueil, Aguas Zarcas, EET 96029",8839,0
104,0.019727206841137466,464.0,"[2462.8,2511.856]","[3.24,2.736]",2487.328,2.992,"Iceland, Utah",8722,1
105,0.019727206841137466,464.0,"[5101.312,5125.84]","[1.392,1.36]",5115.328,1.376,"Iceland, Utah",8761,1
106,0.019727206841137466,374.0,"[11373.472,11419.024]","[1.048,1.04]",11394.496,1.048,"Iceland, Utah",8279,1
107,0.019727206841137466,464.0,"[2273.584,2287.6]","[1.888,1.408]",2280.592,1.648,"Iceland, Utah",8718,1
108,0.019727206841137466,464.0,"[2830.72,2851.744]","[1.904,1.36]",2841.232,1.632,"Iceland, Utah",8730,1
109,0.019727206841137466,464.0,"[4519.648,4554.688]","[1.832,1.312]",4537.168,1.576,"Iceland, Utah",8753,1
110,0.019727206841137466,467.0,"[11380.48,11394.496]","[1.072,1.048]",11387.488,1.064,"Iceland, Utah",8899,1
111,0.019697267756854844,145.0,"[5693.488,5742.544]","[1.096,1.008]",5718.016,1.056,"Jarosite, Lignite, GSFC, Orgueil, ALH 83100, LON 94101",3509,0
112,0.019605998083982883,457.0,"[9978.88,10027.936]","[2.368,1.136]",10003.408,1.752,"Atacama, Antarctica, Green R. Shale",8688,1
113,0.0193327094722197,111.0,"[4288.384,4291.888]","[1.064,1.04]",4288.384,1.056,"Atacama, GSFC",2104,1
114,0.0193327094722197,116.0,"[4999.696,4999.696]","[1.2,1.152]",4999.696,1.176,"Atacama, GSFC",2305,1
115,0.0193327094722197,83.0,"[4432.048,4442.56]","[1.152,1.112]",4439.056,1.128,"Atacama, GSFC",1333,1
116,0.0193327094722197,144.0,"[4905.088,4908.592]","[1.144,1.088]",4905.088,1.112,"Atacama, GSFC",3419,1
117,-0.019259560391017436,370.0,"[8945.2,8976.736]","[1.552,1.416]",8962.72,1.488,"Murchison, EET 96029",8204,0
118,-0.019196343889584553,216.0,"[6187.552,6233.104]","[1.08,1.008]",6212.08,1.048,"Orgueil, ALH 83100, LON 94101, Murchison",6006,0
119,0.01906380701607055,99.0,"[9824.704,9863.248]","[1.32,1.072]",9842.224,1.2,"Green R. Shale, Lignite, GSFC, Murchison Soil",1743,1
120,0.01906380701607055,85.0,"[9824.704,9863.248]","[1.344,1.072]",9842.224,1.208,"Green R. Shale, Lignite, GSFC, Murchison Soil",1375,1
121,0.01906380701607055,43.0,"[9824.704,9863.248]","[1.368,1.056]",9842.224,1.216,"Green R. Shale, Lignite, GSFC, Murchison Soil",379,1
122,-0.01896384817757682,92.0,"[4792.96,4796.464]","[1.208,1.08]",4792.96,1.144,"ALH 83100, LON 94101, Murchison, LEW 85311",1525,0
123,-0.01896384817757682,92.0,"[4558.192,4603.744]","[1.104,1.008]",4579.216,1.056,"ALH 83100, LON 94101, Murchison, LEW 85311",1524,0
124,-0.01896384817757682,106.0,"[5048.752,5059.264]","[1.136,1.04]",5052.256,1.088,"ALH 83100, LON 94101, Murchison, LEW 85311",1943,0
125,-0.01896384817757682,92.0,"[3314.272,3352.816]","[1.136,1.072]",3331.792,1.104,"ALH 83100, LON 94101, Murchison, LEW 85311",1518,0
126,-0.01896384817757682,92.0,"[3934.48,3952.0]","[1.104,1.048]",3941.488,1.08,"ALH 83100, LON 94101, Murchison, LEW 85311",1520,0
127,-0.01896384817757682,92.0,"[4379.488,4390.0]","[1.12,1.072]",4382.992,1.096,"ALH 83100, LON 94101, Murchison, LEW 85311",1523,0
